FILE NAME,SITE NAME,SITE CODE,COUNTRY,CONTRIBUTOR (ABBREVIATED),CONTRIBUTOR (FULL),CONTRIBUTOR WEBSITE,CONTRIBUTOR CONTACT,ORGINATOR,ORIGINATOR WEBSITE,ORIGINATOR CONTACT,LATITUDE,LONGITUDE,COORDINATE SYSTEM,START DATE/TIME,END DATE/TIME,NUMBER OF YEARS,TIME ZONE HOURS,DATUM INFORMATION,INSTRUMENT,PRECISION,NULL VALUE,GAUGE TYPE,OVERALL RECORD QUALITY
limon-268a-cri-uhslc_rq,Limon,268A,CRI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Servicio Mareografico (SERMAR)  Instituto Meteorologico Nacional (IMN)  Costa Rica ,"Unspecified",Unspecified,  10.00000000, -83.03300000,Unspecified,1970/01/01 23:00:00,1981/03/01 05:00:00,12,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
alotau-069a-png-uhslc_rq,Alotau,069A,PNG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,"Unspecified",Unspecified, -10.16800000, 150.45300000,Unspecified,1984/09/21 23:00:00,1995/02/24 05:00:00,12,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
qui_nhon-381a-vnm-uhslc_rq,Qui_Nhon,381A,VNM,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Marine Hydro-meteorological Center  Vietnam ,"Unspecified",Unspecified,  13.76700000, 109.25000000,Unspecified,1994/01/01 00:00:00,2005/12/31 16:00:00,12,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
fortaleza-283c-bra-uhslc_rq,Fortaleza,283C,BRA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -3.71500000, -38.47700000,Unspecified,2008/04/14 17:00:00,2018/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
matarani-094a-per-uhslc_rq,Matarani,094A,PER,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Scripps Institute of Oceanography (SIO)  University of California at San Diego  USA ,"Unspecified",Unspecified, -17.00000000, -72.11700000,Unspecified,1954/03/22 21:00:00,1964/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
colombo-115c-lka-uhslc_rq,Colombo,115C,LKA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,   6.93500000,  79.85800000,Unspecified,2006/05/09 00:00:00,2016/10/25 06:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
cilicap-162b-idn-uhslc_rq,Cilicap,162B,IDN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -7.75200000, 109.01700000,Unspecified,2007/02/20 11:00:00,2017/07/13 07:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
saumlaki-420a-idn-uhslc_rq,Saumlaki,420A,IDN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -7.98200000, 131.29000000,Unspecified,2008/10/01 06:00:00,2018/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
kavieng-068a-png-uhslc_rq,Kavieng,068A,PNG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,"Unspecified",Unspecified,  -2.58500000, 150.79500000,Unspecified,1984/09/10 07:00:00,1994/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
scruz_d_palma-206a-esp-uhslc_rq,SCruz_d_Palma,206A,ESP,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Espanol de Oceanografia  ESP ,"Unspecified",Unspecified,  28.68300000, -17.75000000,Unspecified,1949/05/01 01:00:00,1959/03/02 08:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
wewak-063a-png-uhslc_rq,Wewak,063A,PNG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Commonwealth Scientific and Industrial Research Organisation (CSIRO)  Division of Oceanography  Australia ,"Unspecified",Unspecified,  -3.57000000, 143.63300000,Unspecified,1984/08/29 05:00:00,1994/10/30 22:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
ambon-133b-idn-uhslc_rq,Ambon,133B,IDN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -3.63800000, 128.20000000,Unspecified,2008/10/01 06:00:00,2018/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
lembar-419a-idn-uhslc_rq,Lembar,419A,IDN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -8.73200000, 116.07200000,Unspecified,2008/09/22 08:00:00,2018/12/24 17:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
manus-065a-png-uhslc_rq,Manus,065A,PNG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,"Unspecified",Unspecified,  -2.01300000, 147.27200000,Unspecified,1984/09/04 03:00:00,1994/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
port_stanley-290a-gbr-uhslc_rq,Port_Stanley,290A,GBR,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,"Unspecified",Unspecified, -52.70000000, -57.86700000,Unspecified,1964/11/02 20:00:00,1974/11/30 22:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
port_moresby-064a-png-uhslc_rq,Port_Moresby,064A,PNG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,"Unspecified",Unspecified,  -9.47800000, 147.14000000,Unspecified,1984/08/10 06:00:00,1994/12/31 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
khal_10-135a-bgd-uhslc_rq,Khal_10,135A,BGD,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Bangladesh Inland Water Transport Authority (BIWTA)  Bangladesh ,"Unspecified",Unspecified,  22.26700000,  91.81700000,Unspecified,1982/01/01 00:00:00,1992/12/31 17:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
angra_heroismo-215b-prt-uhslc_rq,Angra_Heroismo,215B,PRT,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,"Unspecified",Unspecified,  38.65000000, -27.24000000,Unspecified,1976/07/31 01:00:00,1986/03/15 23:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
macquarie_is-680b-aus-uhslc_rq,Macquarie_Is,680B,AUS,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,"Unspecified",Unspecified, -54.48300000, 158.96700000,Unspecified,1964/03/25 01:00:00,1974/11/18 03:00:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
tarawa_betio-002c-kir-uhslc_rq,Tarawa_Betio,002C,KIR,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,   1.36200000, 172.93000000,Unspecified,1988/01/20 05:00:00,1997/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
karachi-147b-pak-uhslc_rq,Karachi,147B,PAK,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,"Unspecified",Unspecified,  24.81200000,  66.97500000,Unspecified,2007/01/31 10:00:00,2016/12/15 12:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
la_guaira-247a-ven-uhslc_rq,La_Guaira,247A,VEN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Oceanografico de Venezuela  Universidad de Oriente  Venezuela ,"Unspecified",Unspecified,  10.61700000, -66.93300000,Unspecified,1985/01/01 04:00:00,1994/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
victoria_dock-337a-sgp-uhslc_rq,Victoria_Dock,337A,SGP,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Port of Singapore Authority  Singapore ,"Unspecified",Unspecified,   1.26300000, 103.82200000,Unspecified,1972/01/01 01:00:00,1981/12/31 15:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
salvador_uscgs-708a-bra-uhslc_rq,Salvador_USCGS,708A,BRA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified, -12.96700000, -38.51700000,Unspecified,1955/01/01 03:00:00,1964/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
currimao-654a-phl-uhslc_rq,Currimao,654A,PHL,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Transport Engineering Design Incorporation  Vietnam ,"Unspecified",Unspecified,  17.98800000, 120.48800000,Unspecified,2009/10/09 08:00:00,2018/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
limon-268b-cri-uhslc_rq,Limon,268B,CRI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,   9.98800000, -83.02000000,Unspecified,2009/10/15 19:00:00,2018/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
baltra_galapagos-003a-ecu-uhslc_rq,Baltra_Galapagos,003A,ECU,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  -0.43500000, -90.28500000,Unspecified,1968/06/01 06:00:00,1977/12/31 22:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
arecibo_pr-735a-pri-uhslc_rq,Arecibo_PR,735A,PRI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  18.48000000, -66.70200000,Unspecified,2008/08/28 18:00:00,2017/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
yabucoa_harbor_pr-734a-usa-uhslc_rq,Yabucoa_Harbor_PR,734A,USA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  18.05500000, -65.83200000,Unspecified,2008/08/28 20:00:00,2017/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
chabahar-915a-irn-uhslc_rq,Chabahar,915A,IRN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom},"Unspecified",Unspecified,  25.29700000,  60.60300000,Unspecified,2007/10/31 10:00:00,2016/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
barbers_point_hi-547a-usa-uhslc_rq,Barbers_Point_HI,547A,USA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  21.32000000,-158.12000000,Unspecified,2009/06/06 01:00:00,2018/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
muscat-110b-omn-uhslc_rq,Muscat,110B,OMN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  23.62800000,  58.56500000,Unspecified,2009/12/10 15:00:00,2018/12/31 11:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
fajardo_pr-783b-pri-uhslc_rq,Fajardo_PR,783B,PRI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  18.33500000, -65.63000000,Unspecified,2008/10/06 15:00:00,2017/09/20 08:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
imbituba-718a-bra-uhslc_rq,Imbituba,718A,BRA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Directoria de Hidrografia e Navegacao  Banco Nacional de Dados Oceangraficos  Brazil ,"Unspecified",Unspecified, -28.23000000, -48.65000000,Unspecified,2001/08/22 15:00:00,2010/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
keppel_harbour-327a-sgp-uhslc_rq,Keppel_Harbour,327A,SGP,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Port of Singapore Authority  Singapore ,"Unspecified",Unspecified,   1.26300000, 103.82200000,Unspecified,1981/08/13 02:00:00,1990/01/31 15:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
djibouti-119a-dji-uhslc_rq,Djibouti,119A,DJI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,"Unspecified",Unspecified,  11.60800000,  43.14000000,Unspecified,2007/02/20 10:00:00,2016/05/16 19:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
anewa_bay-048a-png-uhslc_rq,Anewa_Bay,048A,PNG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -6.18300000, 155.88300000,Unspecified,1968/08/05 00:00:00,1977/12/31 12:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
karachi-147a-pak-uhslc_rq,Karachi,147A,PAK,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, 1988\u20131992  National Hydrographic Data Bank  Pakistan; 1985\u20131987  Pakistan National Institute of Oceanography  Pakistan ,"Unspecified",Unspecified,  24.80000000,  66.96700000,Unspecified,1985/01/01 00:00:00,1994/06/30 18:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
tarawa_betio-002a-kir-uhslc_rq,Tarawa_Betio,002A,KIR,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,   1.35800000, 172.93500000,Unspecified,1974/05/03 05:00:00,1983/12/31 10:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
la_union-086b-slv-uhslc_rq,La_Union,086B,SLV,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Geografico Nacional  Panama ,"Unspecified",Unspecified,  13.33300000, -87.81700000,Unspecified,2001/01/01 20:00:00,2010/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
matavai-590a-fra-uhslc_rq,Matavai,590A,FRA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Scripps Institute of Oceanography (SIO)  University of California at San Diego  USA ,"Unspecified",Unspecified, -17.51700000,-149.51700000,Unspecified,1958/01/01 00:00:00,1967/11/27 09:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
gisborne-078b-nzl-uhslc_rq,Gisborne,078B,NZL,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,"Unspecified",Unspecified, -38.68300000, 178.03300000,Unspecified,2010/01/01 00:00:00,2019/12/31 11:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
point_fortin-728a-tto-uhslc_rq,Point_Fortin,728A,TTO,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Institute of Marine Affairs  Trinidad and Tobago ,"Unspecified",Unspecified,  10.10000000, -61.41700000,Unspecified,1987/01/01 05:00:00,1996/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
base_prat-730b-chl-uhslc_rq,Base_Prat,730B,CHL,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Servicio Hidrografico y Oceanografico de la Armada (SHOA)  CHL ,"Unspecified",Unspecified, -62.47800000, -59.66500000,Unspecified,2009/02/14 05:00:00,2018/12/31 23:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
lagos-233a-nga-uhslc_rq,Lagos,233A,NGA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,"Unspecified",Unspecified,   6.41700000,   3.45000000,Unspecified,1961/05/24 23:00:00,1970/12/17 04:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
port_victoria-111a-syc-uhslc_rq,Port_Victoria,111A,SYC,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Institute of Oceanographic Sciences (IOS)  Bidston Observatory  United Kingdom ,"Unspecified",Unspecified,  -4.62200000,  55.45800000,Unspecified,1975/06/17 07:00:00,1984/10/15 10:00:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
providenya-626a-rus-uhslc_rq,Providenya,626A,RUS,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu,National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA,"Unspecified",Unspecified,  64.40000000,-173.20000000,Unspecified,1977/01/01 00:00:00,1985/12/31 20:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
puerto_madryn-731a-arg-uhslc_rq,Puerto_Madryn,731A,ARG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified, -42.76300000, -65.03000000,Unspecified,2010/03/14 03:00:00,2018/12/31 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
mar_del_plata-729b-arg-uhslc_rq,Mar_del_Plata,729B,ARG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified, -38.03500000, -57.53000000,Unspecified,2010/03/24 01:00:00,2018/12/31 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
lubang-655a-phl-uhslc_rq,Lubang,655A,PHL,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  13.81800000, 120.20200000,Unspecified,2010/06/11 07:00:00,2018/12/31 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
punta_cana-776a-dom-uhslc_rq,Punta_Cana,776A,DOM,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  18.50500000, -68.37500000,Unspecified,2010/06/18 22:00:00,2018/12/31 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
acajutla-082c-slv-uhslc_rq,Acajutla,082C,SLV,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  13.57300000, -89.83800000,Unspecified,2010/08/19 21:00:00,2018/12/31 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
l_cornwallis_i-705a-can-uhslc_rq,L_Cornwallis_I,705A,CAN,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,"Unspecified",Unspecified,  75.38300000, -96.95000000,Unspecified,1986/11/06 23:00:00,1994/09/28 16:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
isabel_segunda_pr-732a-pri-uhslc_rq,Isabel_Segunda_PR,732A,PRI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  18.15200000, -65.44300000,Unspecified,2009/03/06 23:00:00,2017/10/20 07:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
honolulu_kewalo-026a-usa-uhslc_rq,Honolulu_Kewalo,026A,USA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  21.29500000,-157.86200000,Unspecified,1978/01/24 02:00:00,1986/02/18 22:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
port_allen-553a-usa-uhslc_rq,Port_Allen,553A,USA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  21.90000000,-159.60000000,Unspecified,1989/03/01 00:00:00,1997/01/29 21:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
kaumalapau_hi-548a-usa-uhslc_rq,Kaumalapau_HI,548A,USA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  20.78000000,-156.90000000,Unspecified,2007/07/14 02:00:00,2015/03/23 21:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
puerto_deseado-286b-arg-uhslc_rq,Puerto_Deseado,286B,ARG,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified, -47.75300000, -65.91500000,Unspecified,2010/03/17 02:00:00,2018/12/31 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
nouakchott-806a-mrt-uhslc_rq,Nouakchott,806A,MRT,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,"Unspecified",Unspecified,  17.99000000, -16.03700000,Unspecified,2007/01/05 14:00:00,2015/02/09 22:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
portf_spain-248a-tto-uhslc_rq,Portf_Spain,248A,TTO,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Institute of Marine Affairs  Trinidad and Tobago ,"Unspecified",Unspecified,  10.65000000, -61.51700000,Unspecified,1984/01/01 04:00:00,1992/12/07 19:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
catalina-313b-usa-uhslc_rq,Catalina,313B,USA,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Scripps Institute of Oceanography (SIO)  University of California at San Diego  USA ,"Unspecified",Unspecified,  33.45000000,-118.48300000,Unspecified,1980/03/16 00:00:00,1988/06/01 07:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
quepos-087b-cri-uhslc_rq,Quepos,087B,CRI,UHSLC_RQ,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,   9.42500000, -84.17200000,Unspecified,2009/10/08 20:00:00,2017/09/04 23:00:00,9,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
